subject,0BK_BODY_ACC,0BK_BODY_ACC_TARGET,0BK_BODY_ACC_NONTARGET,0BK_FACE_ACC,0BK_FACE_ACC_TARGET,0BK_FACE_ACC_NONTARGET,0BK_PLACE_ACC,0BK_PLACE_ACC_TARGET,0BK_PLACE_ACC_NONTARGET,0BK_TOOL_ACC,0BK_TOOL_ACC_TARGET,0BK_TOOL_ACC_NONTARGET,0BK_BODY_MEDIAN_RT,0BK_BODY_MEDIAN_RT_TARGET,0BK_BODY_MEDIAN_RT_NONTARGET,0BK_FACE_MEDIAN_RT,0BK_FACE_MEDIAN_RT_TARGET,0BK_FACE_MEDIAN_RT_NONTARGET,0BK_PLACE_MEDIAN_RT,0BK_PLACE_MEDIAN_RT_TARGET,0BK_PLACE_MEDIAN_RT_NONTARGET,0BK_TOOL_MEDIAN_RT,0BK_TOOL_MEDIAN_RT_TARGET,0BK_TOOL_MEDIAN_RT_NONTARGET,2BK_BODY_ACC,2BK_BODY_ACC_TARGET,2BK_BODY_ACC_NONTARGET,2BK_FACE_ACC,2BK_FACE_ACC_TARGET,2BK_FACE_ACC_NONTARGET,2BK_PLACE_ACC,2BK_PLACE_ACC_TARGET,2BK_PLACE_ACC_NONTARGET,2BK_TOOL_ACC,2BK_TOOL_ACC_TARGET,2BK_TOOL_ACC_NONTARGET,2BK_BODY_MEDIAN_RT,2BK_BODY_MEDIAN_RT_TARGET,2BK_BODY_MEDIAN_RT_NONTARGET,2BK_FACE_MEDIAN_RT,2BK_FACE_MEDIAN_RT_TARGET,2BK_FACE_MEDIAN_RT_NONTARGET,2BK_PLACE_MEDIAN_RT,2BK_PLACE_MEDIAN_RT_TARGET,2BK_PLACE_MEDIAN_RT_NONTARGET,2BK_TOOL_MEDIAN_RT,2BK_TOOL_MEDIAN_RT_TARGET,2BK_TOOL_MEDIAN_RT_NONTARGET,
150524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1019.0,1190.0,1019.0,983.0,612.5,1069.5,871.0,786.5,914.5,708.5,809.5,680.0,0.5,0.5,0.5,1.0,1.0,1.0,0.875,0.5,1.0,0.625,0.5,0.666666666667,1496.0,1887.0,1468.0,998.5,1202.0,998.5,1134.0,1472.0,1078.5,1139.0,1139.0,1110.0,
153429,0.9,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,801.0,810.5,801.0,701.5,695.0,701.5,711.0,642.0,765.5,846.5,829.5,846.5,0.875,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1112.0,1000.0,1155.0,954.5,833.5,1001.0,1057.5,915.0,1113.5,950.5,716.5,997.0,
158035,0.8,0.5,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,851.5,821.0,852.0,624.0,592.0,654.0,604.0,595.0,604.0,625.0,569.5,640.5,0.625,0.5,0.666666666667,0.75,0.5,0.833333333333,0.875,0.5,1.0,0.625,0.5,0.666666666667,875.0,1221.0,836.0,734.0,480.0,765.0,1184.0,995.0,1196.0,954.0,1114.0,834.0,
158540,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.0,0.875,1332.5,1337.5,1332.5,1172.5,1085.5,1172.5,1025.5,1175.5,1025.5,1157.0,nan,1157.0,0.625,0.5,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,1510.0,1422.0,1527.5,1175.5,1170.0,1175.5,927.5,707.5,947.0,1129.0,1020.0,1199.0,
159138,0.7,0.0,0.875,0.4,0.0,0.5,0.7,0.0,0.875,0.7,0.0,0.875,879.0,nan,879.0,1252.0,nan,1252.0,895.0,nan,895.0,937.0,nan,937.0,0.625,0.5,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,1413.0,1439.0,1305.0,952.5,864.5,952.5,1036.0,1038.5,1036.0,1027.0,1503.5,992.0,
161630,0.6,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1104.5,nan,1104.5,618.0,612.5,618.0,563.0,505.0,631.5,613.0,668.5,597.0,0.875,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1128.0,1245.5,1128.0,699.5,593.0,789.0,945.5,721.5,964.5,834.0,608.5,922.5,
165234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,722.5,1166.5,722.5,690.5,621.0,690.5,817.0,1090.5,781.5,625.5,689.5,615.0,0.75,0.5,0.833333333333,1.0,1.0,1.0,0.875,0.5,1.0,0.875,1.0,0.833333333333,1180.0,952.0,1291.0,898.5,1002.0,898.5,985.0,957.0,990.0,1126.0,913.5,1126.0,
169444,0.9,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,728.0,728.0,740.0,706.5,713.0,685.0,613.5,735.5,575.0,567.0,715.5,498.0,0.5,0.0,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.5,1.0,1348.0,nan,1348.0,958.5,755.5,958.5,714.0,996.0,700.0,788.0,729.0,968.5,
172029,0.9,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,1.0,707.0,914.0,696.0,614.5,610.0,649.5,743.0,688.5,766.0,788.0,1124.0,732.5,0.75,0.5,0.833333333333,1.0,1.0,1.0,0.75,0.5,0.833333333333,0.5,0.5,0.5,1261.5,1027.0,1496.0,808.5,642.0,1064.5,1140.0,1299.0,1082.0,763.0,1121.0,700.0,
172130,0.8,0.5,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,986.5,959.0,1014.0,609.0,714.0,609.0,661.0,661.0,653.5,699.0,605.5,710.5,0.875,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1060.0,1044.0,1060.0,702.0,518.5,786.5,822.0,901.5,766.5,835.5,706.5,882.5,
173334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1054.0,800.5,1113.5,675.5,706.5,653.5,962.0,670.0,970.5,722.0,662.5,757.5,0.75,1.0,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1165.5,1135.5,1220.0,865.5,663.0,881.5,1172.5,1098.0,1316.0,1074.0,706.0,1107.5,
175439,1.0,1.0,1.0,0.8,0.5,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1037.5,1519.0,947.5,815.0,573.0,938.0,738.0,512.0,865.0,627.0,591.5,657.5,0.625,0.5,0.666666666667,1.0,1.0,1.0,0.75,0.5,0.833333333333,0.875,1.0,0.833333333333,1276.0,1805.0,1240.5,772.5,657.0,792.0,739.5,625.0,788.0,958.0,972.5,958.0,
177746,0.9,0.5,1.0,0.7,0.5,0.75,0.9,0.5,1.0,1.0,1.0,1.0,1011.0,1008.0,1027.0,1319.0,1092.0,1324.5,823.0,778.0,899.0,693.5,598.5,801.0,0.75,1.0,0.666666666667,0.875,1.0,0.833333333333,1.0,1.0,1.0,0.625,1.0,0.5,1401.0,1309.0,1646.5,1020.0,1142.0,854.0,998.0,1146.0,998.0,1411.0,1364.5,1411.0,
178142,0.9,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,830.0,830.0,846.5,745.5,911.0,745.5,791.0,791.0,848.5,805.0,695.5,860.5,0.75,0.5,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,930.5,773.0,1003.0,861.0,782.5,971.5,876.0,1047.5,876.0,1002.0,1313.0,909.0,
178950,0.9,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,754.0,754.0,748.0,714.5,695.0,714.5,716.5,767.5,715.0,680.5,692.0,675.5,0.875,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,878.0,943.5,858.0,723.0,658.0,791.0,845.5,860.5,845.5,799.0,735.0,850.5,
179548,0.7,0.5,0.75,0.5,0.0,0.625,1.0,1.0,1.0,0.7,0.0,0.875,830.0,1792.0,787.5,562.0,nan,562.0,682.0,742.0,661.5,793.0,nan,793.0,0.625,0.5,0.666666666667,0.875,1.0,0.833333333333,1.0,1.0,1.0,0.875,1.0,0.833333333333,877.0,1292.0,841.5,1197.0,1269.5,1025.0,858.0,1181.0,830.0,704.0,803.0,704.0,
180432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,737.5,958.5,737.5,705.5,567.0,730.0,572.5,491.5,583.0,735.5,690.0,735.5,0.75,1.0,0.666666666667,0.875,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1215.0,1580.5,1049.0,769.0,536.0,802.0,895.0,698.0,990.0,799.0,690.5,883.0,
183034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,727.0,1005.5,654.5,688.0,644.0,744.0,647.5,707.5,647.5,704.5,699.0,728.5,0.875,1.0,0.833333333333,0.875,1.0,0.833333333333,1.0,1.0,1.0,0.875,1.0,0.833333333333,947.0,833.0,1048.0,1155.0,1093.0,1155.0,1128.5,1161.5,1128.5,980.0,939.5,980.0,
187547,0.8,0.5,0.875,0.7,0.5,0.75,0.7,0.0,0.875,0.7,0.0,0.875,657.5,1063.0,651.0,807.0,807.0,909.5,705.0,nan,705.0,615.0,nan,615.0,0.875,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,1203.0,877.5,1220.0,647.5,623.5,670.0,788.0,942.0,725.0,649.0,517.5,659.0,
189349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,789.5,983.0,707.5,591.0,608.0,579.0,585.5,554.5,589.0,537.5,613.0,537.5,0.75,1.0,0.666666666667,1.0,1.0,1.0,0.875,0.5,1.0,1.0,1.0,1.0,1111.0,1213.0,1111.0,837.5,669.0,912.0,758.0,758.0,789.0,975.0,921.5,1086.0,
190031,0.9,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,759.0,781.0,741.0,605.5,579.5,619.0,643.5,647.0,643.5,643.0,731.0,632.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1262.5,1016.5,1374.0,1123.0,816.5,1252.0,1257.5,932.5,1297.0,1612.0,1170.5,1655.0,
191033,1.0,1.0,1.0,0.9,1.0,0.875,0.9,1.0,0.875,0.6,0.0,0.75,1137.0,1323.0,1072.0,728.0,671.0,836.0,1050.0,1383.0,812.0,1054.0,nan,1054.0,0.625,1.0,0.5,0.875,1.0,0.833333333333,0.875,0.5,1.0,0.625,0.5,0.666666666667,1182.0,1200.5,1055.0,895.0,762.5,929.0,752.0,639.0,786.0,966.0,938.0,1014.0,
194140,0.8,0.0,1.0,0.8,0.5,0.875,0.9,1.0,0.875,1.0,1.0,1.0,701.5,nan,701.5,734.5,990.0,734.0,711.0,656.0,711.0,594.0,673.0,536.5,0.5,0.0,0.666666666667,0.75,0.0,1.0,0.75,0.5,0.833333333333,0.75,0.5,0.833333333333,783.0,nan,783.0,410.5,nan,410.5,1107.0,1818.0,1093.0,952.5,1630.0,844.0,
194645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1243.5,1440.0,1166.0,1049.0,747.0,1105.5,1104.5,979.0,1151.0,1079.5,951.5,1132.5,0.875,1.0,0.833333333333,1.0,1.0,1.0,0.75,0.0,1.0,0.875,1.0,0.833333333333,1229.0,1263.0,1229.0,1279.5,1248.5,1279.5,1327.0,nan,1327.0,1530.0,1633.5,1193.0,
194847,0.6,0.5,0.625,1.0,1.0,1.0,0.7,0.5,0.75,0.8,0.5,0.875,1236.5,1389.0,1093.0,792.5,915.0,792.5,1432.0,1099.0,1482.0,1039.0,1081.0,997.0,0.75,1.0,0.666666666667,1.0,1.0,1.0,0.875,0.5,1.0,0.875,1.0,0.833333333333,1539.5,1262.0,1585.5,1153.5,699.0,1181.0,938.0,948.0,919.0,1117.0,956.0,1222.0,
195041,1.0,1.0,1.0,0.9,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,625.0,704.0,615.5,592.0,686.5,592.0,623.0,587.5,642.0,608.5,544.0,634.5,0.625,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,920.0,1199.5,733.0,741.5,689.0,744.0,662.5,873.0,651.5,839.0,692.0,1026.5,
195849,0.9,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,771.0,1150.0,699.0,895.0,818.0,895.0,800.5,1029.5,734.0,645.0,722.5,585.0,0.875,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,904.0,821.0,1200.0,1167.0,585.5,1284.5,1064.0,1331.5,1064.0,1179.0,1295.5,1179.0,
196144,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.875,1.0,1.0,1.0,811.5,1168.0,811.5,773.0,651.5,799.0,786.0,711.5,1001.0,742.0,809.0,714.0,0.375,0.0,0.5,0.75,0.5,0.833333333333,0.75,0.0,1.0,0.625,0.0,0.833333333333,1688.0,nan,1688.0,1004.0,1386.0,933.0,1018.5,nan,1018.5,1320.0,nan,1320.0,
200109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,645.0,1244.0,645.0,570.0,499.0,570.0,573.0,522.0,573.0,469.5,483.0,459.5,0.875,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1092.0,930.0,1130.0,817.5,594.5,918.5,966.0,599.5,1035.5,969.5,815.0,1020.5,
205725,0.9,1.0,0.875,1.0,1.0,1.0,0.8,0.0,1.0,1.0,1.0,1.0,692.0,919.5,636.0,603.5,670.5,603.5,655.0,nan,655.0,549.0,546.5,549.0,0.75,0.5,0.833333333333,1.0,1.0,1.0,0.875,0.5,1.0,0.75,1.0,0.666666666667,943.5,910.0,973.0,892.5,844.5,892.5,811.0,988.0,808.5,879.0,814.5,1063.5,
208024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,777.0,1279.5,777.0,785.5,772.0,785.5,871.0,855.0,871.0,740.5,844.5,718.5,0.75,1.0,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,1313.0,1371.0,1313.0,1209.5,910.0,1274.5,976.5,885.0,976.5,957.0,1278.0,957.0,
210617,0.9,0.5,1.0,1.0,1.0,1.0,0.6,0.0,0.75,1.0,1.0,1.0,805.0,805.0,827.0,749.0,731.5,749.0,764.5,nan,764.5,1152.5,1027.0,1214.0,0.5,0.0,0.666666666667,0.75,0.5,0.833333333333,0.75,0.5,0.833333333333,0.75,1.0,0.666666666667,829.5,nan,829.5,1069.5,728.0,1186.0,955.5,1592.0,861.0,1261.0,1217.0,1261.0,
211316,0.7,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1276.0,1468.5,1276.0,942.5,746.0,1015.5,1013.5,962.0,1175.5,953.5,899.5,1016.0,0.5,0.5,0.5,0.875,1.0,0.833333333333,0.375,0.0,0.5,0.75,1.0,0.666666666667,1201.5,1132.0,1271.0,1173.0,1480.5,1173.0,1119.0,nan,1119.0,1181.0,1278.5,1098.5,
211417,0.9,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,768.0,689.0,774.0,662.0,623.0,662.0,674.0,1015.0,660.0,664.5,665.5,664.5,0.875,1.0,0.833333333333,0.875,1.0,0.833333333333,0.875,0.5,1.0,0.875,0.5,1.0,1045.0,1103.5,963.0,882.0,965.5,842.0,975.0,1022.0,924.0,1024.0,763.0,1048.5,
212318,0.9,0.5,1.0,1.0,1.0,1.0,0.8,0.5,0.875,0.5,0.0,0.625,786.0,1887.0,756.5,842.0,825.0,876.5,734.5,858.0,694.0,600.0,nan,600.0,0.75,0.5,0.833333333333,0.875,1.0,0.833333333333,0.625,0.5,0.666666666667,0.875,1.0,0.833333333333,1100.5,1101.0,1100.0,681.0,912.0,644.0,739.0,762.0,731.5,741.0,772.5,719.0,
212419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,728.5,1110.5,712.0,717.0,655.0,717.0,685.0,677.0,685.0,656.5,621.5,667.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.5,1.0,1.0,1.0,1.0,1301.0,1220.5,1310.0,1002.0,660.5,1054.5,948.0,1097.0,927.0,984.0,841.5,1052.0,
214423,0.7,0.0,0.875,0.7,0.5,0.75,0.7,0.5,0.75,0.5,0.5,0.5,1455.0,nan,1455.0,1089.0,1075.0,1180.5,1392.0,1534.0,1368.5,1727.0,1149.0,1770.5,0.625,0.5,0.666666666667,0.625,0.5,0.666666666667,0.75,0.5,0.833333333333,1.0,1.0,1.0,1177.0,1045.0,1357.5,1175.0,992.0,1225.5,1272.5,1181.0,1357.0,1066.0,1023.5,1148.0,
224022,0.9,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.875,1083.0,1028.0,1083.0,807.0,774.0,848.5,893.5,856.0,897.5,1063.0,1215.5,916.0,0.5,0.5,0.5,0.75,1.0,0.666666666667,0.75,0.0,1.0,0.5,0.5,0.5,1302.5,1322.0,1283.0,1142.0,1257.5,1091.5,1428.0,nan,1428.0,1824.0,1883.0,1765.0,
251833,0.8,0.5,0.875,0.6,0.0,0.75,0.7,0.0,0.875,0.7,0.0,0.875,926.5,1086.0,905.0,815.5,nan,815.5,653.0,nan,653.0,665.0,nan,665.0,0.75,1.0,0.666666666667,1.0,1.0,1.0,0.875,0.5,1.0,0.875,1.0,0.833333333333,1348.5,1810.5,1252.5,710.0,755.5,672.0,961.0,1242.0,935.0,923.0,1077.5,801.0,
268850,0.8,0.5,0.875,0.5,0.0,0.625,0.8,0.5,0.875,0.6,0.0,0.75,1169.0,1788.0,1144.0,1186.0,nan,1186.0,1574.5,1603.0,1546.0,1320.5,nan,1320.5,0.5,0.0,0.666666666667,0.75,0.5,0.833333333333,0.625,0.0,0.833333333333,1.0,1.0,1.0,1131.5,nan,1131.5,1344.0,1622.0,1192.0,1315.0,nan,1315.0,1383.5,1259.5,1383.5,
280739,0.9,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,786.0,1237.5,767.0,818.0,941.0,818.0,642.0,597.0,664.5,683.5,745.5,635.0,0.625,0.5,0.666666666667,0.875,0.5,1.0,0.75,0.5,0.833333333333,0.875,1.0,0.833333333333,893.0,1356.0,872.0,765.0,575.0,799.0,918.0,1242.0,824.0,951.0,1133.0,951.0,
285345,0.7,0.5,0.75,0.3,0.0,0.375,0.9,1.0,0.875,1.0,1.0,1.0,1416.0,1459.0,1329.5,1469.0,nan,1469.0,1040.0,851.5,1211.0,760.5,847.5,760.5,0.625,0.5,0.666666666667,0.75,1.0,0.666666666667,0.75,0.0,1.0,0.875,0.5,1.0,1303.0,1303.0,1228.5,1194.0,1550.5,1160.5,752.0,nan,752.0,1335.0,1569.0,1271.5,
289555,0.7,0.5,0.75,0.9,1.0,0.875,0.9,1.0,0.875,0.7,1.0,0.625,1185.0,1185.0,1091.5,943.0,1177.0,868.0,738.0,708.0,738.0,705.0,951.5,705.0,0.5,0.0,0.666666666667,0.625,0.5,0.666666666667,0.625,0.0,0.833333333333,0.5,0.5,0.5,688.0,nan,688.0,757.0,757.0,782.5,981.0,nan,981.0,750.5,640.0,861.0,
307127,0.7,0.0,0.875,0.5,0.0,0.625,0.7,0.0,0.875,0.7,0.5,0.75,820.0,nan,820.0,682.0,nan,682.0,934.0,nan,934.0,896.0,896.0,808.5,0.625,0.5,0.666666666667,1.0,1.0,1.0,0.75,0.0,1.0,0.625,0.5,0.666666666667,840.0,918.0,804.5,650.0,611.5,650.0,839.5,nan,839.5,863.0,1164.0,846.0,
316633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.0,0.875,759.5,1268.0,753.0,700.5,997.0,650.5,711.5,654.0,711.5,656.0,nan,656.0,0.75,1.0,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,1229.0,1575.5,1180.5,976.0,1018.0,976.0,841.5,933.5,733.5,919.0,913.5,925.0,
334635,0.9,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0,0.5,836.0,731.0,845.0,681.0,750.5,642.5,550.0,561.0,550.0,653.0,nan,653.0,0.75,0.0,1.0,0.875,0.5,1.0,0.875,0.5,1.0,0.75,0.5,0.833333333333,676.0,nan,676.0,1004.0,1363.0,981.0,647.0,1551.0,622.5,1313.0,1203.0,1423.0,
