subject,0BK_BODY_ACC,0BK_BODY_ACC_TARGET,0BK_BODY_ACC_NONTARGET,0BK_FACE_ACC,0BK_FACE_ACC_TARGET,0BK_FACE_ACC_NONTARGET,0BK_PLACE_ACC,0BK_PLACE_ACC_TARGET,0BK_PLACE_ACC_NONTARGET,0BK_TOOL_ACC,0BK_TOOL_ACC_TARGET,0BK_TOOL_ACC_NONTARGET,0BK_BODY_MEDIAN_RT,0BK_BODY_MEDIAN_RT_TARGET,0BK_BODY_MEDIAN_RT_NONTARGET,0BK_FACE_MEDIAN_RT,0BK_FACE_MEDIAN_RT_TARGET,0BK_FACE_MEDIAN_RT_NONTARGET,0BK_PLACE_MEDIAN_RT,0BK_PLACE_MEDIAN_RT_TARGET,0BK_PLACE_MEDIAN_RT_NONTARGET,0BK_TOOL_MEDIAN_RT,0BK_TOOL_MEDIAN_RT_TARGET,0BK_TOOL_MEDIAN_RT_NONTARGET,2BK_BODY_ACC,2BK_BODY_ACC_TARGET,2BK_BODY_ACC_NONTARGET,2BK_FACE_ACC,2BK_FACE_ACC_TARGET,2BK_FACE_ACC_NONTARGET,2BK_PLACE_ACC,2BK_PLACE_ACC_TARGET,2BK_PLACE_ACC_NONTARGET,2BK_TOOL_ACC,2BK_TOOL_ACC_TARGET,2BK_TOOL_ACC_NONTARGET,2BK_BODY_MEDIAN_RT,2BK_BODY_MEDIAN_RT_TARGET,2BK_BODY_MEDIAN_RT_NONTARGET,2BK_FACE_MEDIAN_RT,2BK_FACE_MEDIAN_RT_TARGET,2BK_FACE_MEDIAN_RT_NONTARGET,2BK_PLACE_MEDIAN_RT,2BK_PLACE_MEDIAN_RT_TARGET,2BK_PLACE_MEDIAN_RT_NONTARGET,2BK_TOOL_MEDIAN_RT,2BK_TOOL_MEDIAN_RT_TARGET,2BK_TOOL_MEDIAN_RT_NONTARGET,
771354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,1.0,644.0,525.5,683.5,569.5,497.0,617.5,730.0,560.5,882.5,767.0,805.0,734.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,882.5,836.5,894.5,937.0,828.5,957.5,775.5,604.0,936.0,772.0,836.5,744.0,
782561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,1.0,673.0,637.5,717.5,579.5,494.0,579.5,669.0,673.5,669.0,681.0,668.0,705.5,1.0,1.0,1.0,0.875,1.0,0.833333333333,0.875,0.5,1.0,1.0,1.0,1.0,1120.0,943.0,1203.5,1205.0,967.0,1405.0,992.0,845.0,1009.0,1109.5,836.0,1217.5,
802844,0.7,1.0,0.625,1.0,1.0,1.0,0.6,0.5,0.625,0.5,0.5,0.5,1391.0,1366.5,1480.0,1013.0,1119.0,1012.0,1262.5,1225.0,1300.0,1187.0,1079.0,1240.5,0.75,1.0,0.666666666667,0.75,1.0,0.666666666667,0.75,1.0,0.666666666667,0.75,1.0,0.666666666667,1221.0,1044.5,1458.5,1227.5,1119.5,1374.0,1081.5,1158.5,1079.5,1220.0,1315.5,1115.5,
833148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,587.0,601.0,587.0,533.0,624.5,527.5,551.0,621.0,535.5,574.0,785.5,563.0,0.875,0.5,1.0,0.75,0.0,1.0,0.75,0.0,1.0,0.625,0.0,0.833333333333,563.0,738.0,526.5,624.0,nan,624.0,561.0,nan,561.0,848.0,nan,848.0,
861456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,1.0,784.0,767.0,784.0,549.5,630.5,542.5,628.5,840.5,594.5,842.0,1149.0,826.0,0.875,0.5,1.0,0.75,0.5,0.833333333333,1.0,1.0,1.0,0.875,1.0,0.833333333333,913.0,576.0,979.0,1027.0,886.0,1168.0,947.0,1139.5,927.5,998.0,1209.5,998.0,
877168,1.0,1.0,1.0,0.7,0.0,0.875,0.7,0.0,0.875,0.9,0.5,1.0,642.5,587.0,666.5,703.0,nan,703.0,645.0,nan,645.0,701.0,677.0,703.0,0.75,1.0,0.666666666667,1.0,1.0,1.0,0.875,0.5,1.0,0.75,0.5,0.833333333333,1328.5,910.5,1511.0,962.0,922.5,994.0,1045.0,915.0,1066.0,861.0,905.0,858.0,
887373,0.5,0.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,1.0,1199.0,nan,1199.0,938.0,1028.0,829.0,843.0,841.5,843.0,825.0,706.0,840.5,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.0,1.0,0.75,1.0,0.666666666667,1082.5,925.5,1113.5,1096.5,1101.0,1096.5,883.0,nan,883.0,912.0,1034.5,912.0,
894673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,1.0,672.5,606.5,704.0,642.5,608.5,649.0,632.5,704.0,588.5,967.0,564.0,988.0,0.625,0.5,0.666666666667,0.75,0.5,0.833333333333,0.875,0.5,1.0,1.0,1.0,1.0,1033.0,962.0,1060.5,917.0,1424.0,867.0,1018.0,1018.0,974.5,843.5,815.0,843.5,
901442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,791.0,690.0,807.5,685.0,684.5,703.0,769.5,832.5,769.5,771.5,997.5,771.5,0.75,0.5,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.666666666667,1145.5,607.0,1206.0,1029.0,735.0,1121.5,979.0,997.5,979.0,847.5,945.0,847.5,
910241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,876.0,941.0,876.0,879.0,865.5,913.0,998.0,1010.0,998.0,807.5,1341.5,779.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1283.0,1132.5,1304.0,1169.5,1246.0,1163.5,1244.5,1270.5,1244.5,1052.5,979.5,1127.5,
922854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,651.5,749.5,622.0,503.0,592.0,483.0,730.5,802.5,664.5,664.0,805.0,640.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,967.5,640.5,1097.5,922.0,946.0,905.0,842.5,919.0,842.5,1084.0,908.5,1115.0,
930449,1.0,1.0,1.0,0.9,1.0,0.875,0.8,0.0,1.0,1.0,1.0,1.0,748.5,605.0,871.0,503.0,717.0,492.0,575.5,nan,575.5,671.5,1368.5,636.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.833333333333,938.0,653.0,1058.5,1042.5,1353.0,955.0,803.5,1240.5,758.0,893.0,995.0,800.0,
937160,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,776.5,752.5,818.0,803.0,725.5,830.0,805.0,670.0,924.5,828.0,1043.0,828.0,0.875,1.0,0.833333333333,1.0,1.0,1.0,0.875,0.5,1.0,0.625,0.5,0.666666666667,1235.0,805.5,1461.0,1312.0,909.0,1359.5,924.0,832.0,1081.5,1122.0,1585.0,1040.0,
957974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,640.0,690.0,640.0,593.5,622.0,550.0,689.5,678.5,689.5,607.5,765.0,601.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,818.0,660.5,901.0,740.0,654.5,740.0,796.5,532.0,863.5,744.5,699.5,744.5,
958976,0.8,0.0,1.0,1.0,1.0,1.0,0.8,0.0,1.0,1.0,1.0,1.0,676.5,nan,676.5,647.0,972.0,630.0,723.5,nan,723.5,985.0,1219.0,925.5,0.625,1.0,0.5,1.0,1.0,1.0,0.875,0.5,1.0,0.75,0.5,0.833333333333,1020.0,832.5,1212.0,1153.0,995.5,1288.5,1065.0,1073.0,958.5,1044.5,1729.0,1029.0,
965367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,679.0,555.0,784.0,679.0,637.5,734.0,635.0,516.5,657.0,596.0,782.5,596.0,0.75,1.0,0.666666666667,0.875,1.0,0.833333333333,0.625,0.5,0.666666666667,1.0,1.0,1.0,845.0,845.0,881.5,663.0,732.0,654.0,1183.0,872.0,1348.0,959.0,1025.0,959.0,
983773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,543.5,550.0,537.5,481.5,475.0,499.0,536.5,504.0,536.5,569.0,1001.0,557.0,0.875,1.0,0.833333333333,1.0,1.0,1.0,0.75,0.5,0.833333333333,1.0,1.0,1.0,986.0,913.0,986.0,782.5,941.5,687.0,702.0,736.0,668.0,818.5,816.5,818.5,
984472,0.7,0.0,0.875,1.0,1.0,1.0,0.9,0.5,1.0,1.0,1.0,1.0,449.0,nan,449.0,469.5,582.5,426.5,456.0,491.0,455.5,534.0,835.5,517.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,968.0,916.5,1019.0,1050.5,1566.0,1019.5,1059.0,1125.0,947.5,1025.0,1096.0,993.0,
